unit_id,name,cost,hp,mp,attack,defense,attackSpeed,specialAttack,specialDefense,criticalRate,criticalDamage,attackRange
unit_1,SKATEBOARD,1,600,40,36,41,0.8500000000000001,0,43,15,1.5,1
unit_2,YO-YO,1,450,40,34,23,0.63,0,24,15,1.5,5
unit_3,DIZZY FACE,1,450,40,49,25,0.68,0,29,15,1.5,1
unit_4,RECEIPT,1,600,40,32,41,0.6,0,50,15,1.5,2
unit_5,MAGE,1,450,40,51,23,0.89,0,24,15,1.5,5
unit_6,CUCUMBER,1,600,40,40,44,0.69,0,49,15,1.5,2
unit_7,PRINCE,1,450,40,52,25,1.02,0,25,15,1.5,5
unit_8,STATION,1,450,40,45,25,0.65,0,26,15,1.5,1
unit_9,WORM,1,450,40,38,24,0.62,0,26,15,1.5,5
unit_10,BUBBLES,1,600,40,38,44,0.65,0,48,15,1.5,2
unit_11,CORAL,1,600,40,31,43,0.69,0,50,15,1.5,2
unit_12,FIRE ENGINE,1,600,40,42,42,0.8500000000000001,0,42,15,1.5,1
unit_13,TOOLBOX,1,600,40,44,42,0.8700000000000001,0,46,15,1.5,1
unit_14,LOTUS,1,450,40,52,27,0.73,0,25,15,1.5,5
unit_15,GOGGLES,2,500,40,51,25,0.93,0,33,15,1.5,4
unit_16,FLYING DISC,2,500,40,60,27,0.99,0,26,15,1.5,5
unit_17,BUTTERFLY,2,500,40,39,28,0.64,0,25,15,1.5,4
unit_18,KITE,2,500,40,60,32,0.66,0,31,15,1.5,4
unit_19,CANNED FOOD,2,650,40,39,52,0.63,0,47,15,1.5,2
unit_20,LONG DRUM,2,500,40,53,28,0.65,0,28,15,1.5,1
unit_21,OYSTER,2,500,40,54,34,1.02,0,29,15,1.5,6
unit_22,TRACTOR,2,500,40,58,34,0.78,0,26,15,1.5,5
unit_23,TAMALE,2,650,40,45,48,0.8200000000000001,0,50,15,1.5,1
unit_24,METRO,2,500,40,41,30,0.64,0,29,15,1.5,3
unit_25,KNOT,2,650,40,39,55,0.69,0,53,15,1.5,2
unit_26,BEANS,2,650,40,45,53,0.66,0,50,15,1.5,2
unit_27,CRAB,2,500,40,44,29,0.61,0,34,15,1.5,4
unit_28,SWAN,3,750,40,53,54,0.8999999999999999,0,56,15,1.5,1
unit_29,COAT,3,750,40,53,54,0.8500000000000001,0,50,15,1.5,1
unit_30,BONE,3,750,40,50,55,0.62,0,54,15,1.5,2
unit_31,PARROT,3,600,40,45,34,0.63,0,40,15,1.5,5
unit_32,HIKING BOOT,3,600,40,58,30,0.81,0,36,15,1.5,6
unit_33,WOOD,3,600,40,46,32,0.65,0,31,15,1.5,3
unit_34,FLAT SHOE,3,600,40,54,33,0.6,0,35,15,1.5,1
unit_35,PEACOCK,3,750,40,46,53,0.8500000000000001,0,56,15,1.5,1
unit_36,MERPERSON,3,600,40,58,31,0.73,0,35,15,1.5,4
unit_37,SATELLITE,3,600,40,62,40,0.68,0,38,15,1.5,6
unit_38,MONORAIL,3,750,40,53,58,0.8899999999999999,0,55,15,1.5,1
unit_39,WHEEL,3,750,40,49,60,0.64,0,54,15,1.5,2
unit_40,STETHOSCOPE,3,750,40,51,53,0.8700000000000001,0,51,15,1.5,1
unit_41,FIRECRACKER,4,850,40,59,62,0.8800000000000001,0,63,15,1.5,1
unit_42,HAMSA,4,700,40,60,42,0.69,0,50,15,1.5,3
unit_43,CARROT,4,700,40,56,49,0.62,0,42,15,1.5,3
unit_44,COMPASS,4,700,40,58,41,0.7,0,45,15,1.5,3
unit_45,BICYCLE,4,700,40,67,43,0.63,0,45,15,1.5,1
unit_46,ROCK,4,850,40,56,64,0.66,0,65,15,1.5,2
unit_47,POTATO,4,700,40,74,50,0.91,0,43,15,1.5,4
unit_48,BUTTER,4,850,40,50,67,0.63,0,63,15,1.5,2
unit_49,SALT SHAKER,4,700,40,69,50,0.64,0,45,15,1.5,1
unit_50,SKUNK,4,700,40,55,47,0.63,0,45,15,1.5,3
unit_51,DUMPLING,4,700,40,69,46,0.65,0,44,15,1.5,1
unit_52,BRIEFS,4,700,40,70,42,0.91,0,46,15,1.5,4
unit_53,SELFIE,5,850,40,70,57,0.64,0,50,15,1.5,1
unit_54,ZOMBIE,5,850,40,69,60,0.69,0,58,15,1.5,4
unit_55,LUGGAGE,5,850,40,73,52,0.69,0,50,15,1.5,1
unit_56,BEETLE,5,850,40,80,55,0.64,0,51,15,1.5,1
unit_57,TEST TUBE,5,850,40,78,57,0.61,0,57,15,1.5,1
unit_58,BAGEL,5,850,40,70,54,0.67,0,57,15,1.5,1
unit_59,BRAIN,5,850,40,78,53,0.61,0,60,15,1.5,1
unit_60,CUSTOMS,5,1000,40,68,76,0.8899999999999999,0,80,15,1.5,1
